GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
homework5-airports,by.it_academy.jd2.airports.dao,FlightsDao,388,0,4,0,95,0,8,0,6,0
homework5-airports,by.it_academy.jd2.airports.dao,AirportsDao,149,0,4,0,42,0,6,0,4,0
homework5-airports,by.it_academy.jd2.airports.controller.servlets,Language,31,0,4,0,8,0,4,0,2,0
homework5-airports,by.it_academy.jd2.airports.controller.servlets,FlightsSearch,127,0,2,0,31,0,3,0,2,0
homework5-airports,by.it_academy.jd2.airports.controller.servlets,AirportsData,37,0,0,0,11,0,2,0,2,0
homework5-airports,by.it_academy.jd2.airports.dao.hibernate,AirportsHibernateDao,59,7,2,0,13,2,4,1,3,1
homework5-airports,by.it_academy.jd2.airports.dao.hibernate,FlightsHibernateDao,271,0,0,0,50,0,6,0,6,0
homework5-airports,by.it_academy.jd2.airports.core.utils,StringUtils,3,115,0,24,1,19,1,18,1,6
homework5-airports,by.it_academy.jd2.airports.controller.filters,LanguageFilter,24,0,2,0,7,0,3,0,2,0
homework5-airports,by.it_academy.jd2.airports.dao.core,HibernateCreator,9,23,0,0,3,9,1,3,1,3
homework5-airports,by.it_academy.jd2.airports.dao.core,ConnectionPoolCreator,0,81,1,3,0,18,1,3,0,2
homework5-airports,by.it_academy.jd2.airports.core.dto,FlightsPageParam,19,22,0,0,4,10,4,6,4,6
homework5-airports,by.it_academy.jd2.airports.core.dto,Lang,3,34,0,0,1,6,1,2,1,2
homework5-airports,by.it_academy.jd2.airports.core.dto,Flights,79,0,0,0,26,0,18,0,18,0
homework5-airports,by.it_academy.jd2.airports.core.dto,AirportsData.Coordinates,32,0,0,0,12,0,6,0,6,0
homework5-airports,by.it_academy.jd2.airports.core.dto,FlightSearchParam,12,38,0,0,1,16,1,11,1,11
homework5-airports,by.it_academy.jd2.airports.core.dto,AirportsData,48,3,0,0,17,1,11,1,11,1
homework5-airports,by.it_academy.jd2.airports.service,AirportsDataService,6,36,1,3,2,12,1,5,0,4
homework5-airports,by.it_academy.jd2.airports.service,FlightsSearcherService,27,248,3,21,4,48,3,16,0,7
